Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
1,1,Shree Hari Cement & Fertilizers,Mukesh Agarwal,Agra,AGRO CHEMICAL & FERTILISERS
2,2,S.K. Iron Fdy. & Engg. Co.,Sunil Singhal ,Agra,ENGINEERING COMPONENTS & SUPPLIES
3,3,Sumit Engg. Corp.,Shiv Kr. Agarwal,Agra,FOOTWEAR & LEATHER
4,9,Shivam Industries,Sanjeev Bansal,Agra,AGRICULTURE  IMPLEMENTS  &  MACHINERY
5,10,Shree Bankey Behari Sheet Grah (Pvt) Ltd.,Vikas Bansal,Agra,AGRO & FOOD PROCESSING
6,11,Sapana Hotel,A.K. Singh,Agra,SERVICE
7,12,S.N. Gupta & Co.,Deependra Mohan,Agra,SERVICE
8,14,Amit Goyal Associates,Amit Goyal,Agra,SERVICE
9,19,Bhagwati Steel Industries,Rajeev Bansal,Agra,ELECTRICAL & ELECTRONICS
10,20,Farmar Industries,Rakesh Singhal,Agra,ENGINEERING COMPONENTS & SUPPLIES
11,21,Naveen Udyog,Hariom Garg,Agra,AGRICULTURE  IMPLEMENTS  &  MACHINERY
12,34,DIGIPRINT PRIVATE LIMITED,Anupam Kr Srivastava  ,Lucknow,"PAPER, PRINTING & PUBLISHING"
13,35,Jindal Exports,Amit Agarwal,Agra,ELECTRICAL & ELECTRONICS
14,37,Nav Bharat Industries,Govind Garg,Agra,AGRICULTURE  IMPLEMENTS  &  MACHINERY
15,41,J.K. Polymers,Hardeep Singh Rakhera,Kanpur Dehat,PLASTIC & PLASTIC PRODUCTS
16,42,Hovert Industries,Mr.Dilip Singh,Kanpur Dehat,AGRO & FOOD PROCESSING
17,43,MOTOR AND GENERAL SALES PRIVATE LIMITED,Rahul Gupta,Lucknow,AUTOMOBILE & AUTO PARTS
18,46,Soraon Cold Storage,Arvind Agarwal,Prayagraj,AGRO & FOOD PROCESSING
19,54,Nitech Computer Systems (P) Ltd. ,Niranjan Kumar Dubey ,Lucknow,INFORMATION TECHNOLOGY & TELECOM  PRODUCTS
20,55,Rallymark Legal Advocates & Legal Consultants,Rupendra K. Porwal,Lucknow,SERVICE
21,69,Agarwal Foundry,Anurag Agarwal,Barabanki,ENGINEERING COMPONENTS & SUPPLIES
22,70,Shakti Enterprises,Devendra Goyal ,Hathras,CHEMICAL & PETROLEUM
23,73,Shriji International Industries,A.K. Jain,Barabanki,PLASTIC & PLASTIC PRODUCTS
24,75,Agarwal Polypack,Brij Mohan Agarwal,Barabanki,PLASTIC & PLASTIC PRODUCTS
25,76,Bharat Agroils (P) Ltd.,"Ashu Agarwa, Gaurav Agarwal",Modinagar,AGRO & FOOD PROCESSING
26,77,Herbo-Chem. Industries,H.P. Gupta,Barabanki,COSMETIC & PERFUMES
27,79,Anamika Ispat Pvt. Ltd.,Sh. Deepak Mittal,Muzaffarnagar,AGRICULTURE  IMPLEMENTS  &  MACHINERY
28,80,Premier Spun Pipe Industries,Sanjiv Agrawal,Barabanki,CEMENT & CEMENT PRODUCTS
29,82,Hemkund Petro Chemicals,Kulwant Singh,Barabanki,METAL
30,83,Ajay & Company,Jagesh Kr. Agarwal,Barabanki,AGRICULTURE  IMPLEMENTS  &  MACHINERY
31,84,G. D. Power Equipment(I) Pvt. Ltd.,Akhilesh Kr. Agarwal,Barabanki,ELECTRICAL & ELECTRONICS
32,86,Universal Engineering,P.D. Gupta,Barabanki,CEMENT & CEMENT PRODUCTS
33,87,A.P. Gupta & Company,Rakesh Gupta,Bareilly,SERVICE
34,91,Ankur Paints,Ankur Agarwal,Bareilly,PAINTS & VARNISHES
35,92,Aromatic & Allied Chemicals,Geeta Agarwal,Bareilly,COSMETIC & PERFUMES
36,93,B. L. Agro Oils Ltd. ,Ghanshyam Khandelwal,Bareilly,AGRO & FOOD PROCESSING
37,94,Khandelwal Edible Oils Ltd.,Dilip Kumar,Bareilly,AGRO & FOOD PROCESSING
38,96,Shri Vijay Raj Hospital ,R. K. Goel ,Bareilly,BUILDING & CONSTRUCTION MATERIALS
